ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2000-01-05,0.07943642957629854,-3.3864849158397337,4.355783345454115,0.07943642957629854,0.07943642957629854,0.34445006677403206,0.34445006677403206,0.34445006677403206,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.006154743724849582,0.006154743724849582,0.006154743724849582,0.24282460895872837,0.24282460895872837,0.24282460895872837,0.0,0.0,0.0,0.4238864963503306
2000-01-06,0.07950424980406234,-3.5229104093686177,4.687283242171582,0.07950424980406234,0.07950424980406234,0.359623007646522,0.359623007646522,0.359623007646522,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.0018649627581592396,0.0018649627581592396,0.0018649627581592396,0.26228733079790867,0.26228733079790867,0.26228733079790867,0.0,0.0,0.0,0.43912725745058434
2000-01-07,0.07957207003182615,-3.393621197355101,4.302228520903129,0.07957207003182615,0.07957207003182615,0.3753842681420261,0.3753842681420261,0.3753842681420261,0.0954707140904541,0.0954707140904541,0.0954707140904541,-0.0030622275472328374,-0.0030622275472328374,-0.0030622275472328374,0.28297578159880477,0.28297578159880477,0.28297578159880477,0.0,0.0,0.0,0.4549563381738522
2000-01-10,0.07977553071511756,-3.3181490049382156,4.512199948487942,0.07977553071511756,0.07977553071511756,0.46093765672738213,0.46093765672738213,0.46093765672738213,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.01677848320814324,0.01677848320814324,0.01677848320814324,0.3486884594287848,0.3486884594287848,0.3486884594287848,0.0,0.0,0.0,0.5407131874424997
2000-01-11,0.07984335094288136,-3.212912383985404,4.507545837246981,0.07984335094288136,0.07984335094288136,0.4680021037400751,0.4680021037400751,0.4680021037400751,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.002131749043893848,0.002131749043893848,0.002131749043893848,0.37039964060572717,0.37039964060572717,0.37039964060572717,0.0,0.0,0.0,0.5478454546829565
2000-01-12,0.07991117117064515,-3.382745121561984,4.459401031501988,0.07991117117064515,0.07991117117064515,0.49287861025133833,0.49287861025133833,0.49287861025133833,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.006154743724859246,0.006154743724859246,0.006154743724859246,0.39125315243602504,0.39125315243602504,0.39125315243602504,0.0,0.0,0.0,0.5727897814219834
2000-01-13,0.07997899139840896,-3.5195736479982607,4.723387524199584,0.07997899139840896,0.07997899139840896,0.5081143261037996,0.5081143261037996,0.5081143261037996,0.09547071409045411,0.09547071409045411,0.09547071409045411,0.0018649627581484385,0.0018649627581484385,0.0018649627581484385,0.41077864925519697,0.41077864925519697,0.41077864925519697,0.0,0.0,0.0,0.5880933175022085
2000-01-14,0.08004681162617276,-3.5410569274934325,4.192954202423012,0.08004681162617276,0.08004681162617276,0.5209198205027117,0.5209198205027117,0.5209198205027117,0.0954707140904541,0.0954707140904541,0.0954707140904541,-0.003062227547230738,-0.003062227547230738,-0.003062227547230738,0.4285113339594885,0.4285113339594885,0.4285113339594885,0.0,0.0,0.0,0.6009666321288845
2000-01-18,0.08031809253722798,-3.103747983325196,4.550640678803849,0.08031809253722798,0.08031809253722798,0.5706106211958053,0.5706106211958053,0.5706106211958053,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.0021317490438829377,0.0021317490438829377,0.0021317490438829377,0.4730081580614685,0.4730081580614685,0.4730081580614685,0.0,0.0,0.0,0.6509287137330333
2000-01-19,0.08038591276499177,-3.03831766507189,4.524074717103187,0.08038591276499177,0.08038591276499177,0.5773611262461241,0.5773611262461241,0.5773611262461241,0.0954707140904541,0.0954707140904541,0.0954707140904541,0.006154743724883428,0.006154743724883428,0.006154743724883428,0.4757356684307868,0.4757356684307868,0.4757356684307868,0.0,0.0,0.0,0.6577470390111159
